Days,technician 0,technician 1,technician 2,technician 3,technician 4,technician 5,technician 6,technician 7,technician 8,technician 9,technician 10,technician 11,technician 12,technician 13,technician 14
0,"2595, 2536, 1482, 1341, 2196, 849, 823, 173","1830, 2144, 1295, 2705, 2430, 660, 2604, 180","1621, 1278, 289, 569, 1491, 1066, 1197, 1500","2739, 222, 340, 199, 2361, 186, 859","1512, 1647, 3, 2161, 1926, 91, 2490","2404, 1526, 365, 968, 860, 2325, 1346, 1920","2639, 1089, 2552, 1464, 1350, 1355, 1668","1737, 1388, 250, 1235, 1301, 1155, 1458","1535, 442, 2327, 764, 1790, 1214, 2471","1165, 2151, 1145, 2141, 2206, 2497, 779","1294, 2292, 2403, 566, 1638, 25, 1832, 108","2110, 1630, 2751, 1184, 827, 2191, 295","956, 353, 2760, 852, 2725, 1839, 2405, 1495","2268, 182, 2340, 2589, 2534, 350, 1459","1579, 2709, 746, 932, 768, 148, 270, 1265"
1,"1376, 1856, 273, 1408, 792, 669, 2306","1333, 2635, 1250, 1201, 1915, 1752, 260","1190, 537, 1574, 342, 1505, 2776","2381, 1474, 420, 2400, 2319, 1405, 1874","1461, 1096, 2035, 1675, 1202, 2315, 2131","637, 1877, 2575, 1271, 1207, 2516, 132","288, 1485, 197, 1329, 534, 171, 2598","1530, 1696, 402, 2579, 1256, 1846","680, 1386, 345, 1311, 2301, 2105, 2733","1588, 1186, 92, 2209, 995, 1796, 1570","2412, 2648, 1607, 424, 1503, 1468, 410","661, 2090, 2223, 962, 1723, 1631, 2343","1072, 1636, 1501, 1525, 2332, 2379, 857","1508, 1516, 2031, 249, 2243, 1456","906, 2116, 1553, 1894, 2126, 621, 2238"
2,"532, 1244, 477, 2573, 561, 745, 934","2041, 1051, 2488, 1377, 79, 1022, 2735","1680, 1984, 1359, 2139, 27, 597, 1418","2608, 1116, 735, 816, 2167, 119, 747","1924, 2133, 1230, 491, 1076, 2432, 1960, 1398","206, 1071, 580, 307, 976, 966, 2651, 626","2753, 236, 688, 1593, 1099, 1629, 2422","1897, 1167, 573, 2726, 286, 2314, 2304","1649, 1231, 52, 1727, 2000, 2766, 2205","321, 2436, 39, 533, 399, 245, 2479, 1421","125, 2525, 31, 2072, 362, 1724, 743","202, 2074, 1975, 2287, 969, 549, 349","802, 1347, 653, 2128, 1000, 2063, 2506","2019, 2505, 1268, 789, 1361, 94, 1735","1316, 2360, 1335, 753, 203, 2547, 1898"
3,"2236, 2029, 973, 1263, 928, 910, 570","2188, 438, 554, 1509, 2719, 2377, 1995","720, 1307, 2106, 2523, 2425, 1816, 1390","1834, 900, 1166, 2097, 2601, 1860","1016, 1693, 1490, 1771, 970, 1131, 668","986, 2351, 140, 1692, 1844, 439","1229, 943, 1520, 1618, 1861, 371, 1426","1581, 358, 598, 66, 497, 1717, 1349","791, 1850, 2473, 258, 1864, 177, 489","833, 2593, 1217, 167, 878, 1181, 1357","2337, 1769, 707, 744, 1172, 1564, 2316","2574, 1780, 1662, 1904, 1901, 1369, 1241","785, 2740, 993, 45, 1634, 624, 1264","1739, 905, 1285, 124, 115, 101","1820, 1757, 756, 2722, 2177, 1793"
4,"695, 2413, 920, 1433, 2603, 2460","379, 893, 80, 585, 373, 2179","2655, 903, 74, 1504, 2517, 2286, 936, 1583","2364, 1120, 2346, 972, 388, 1125, 1947","172, 685, 209, 2088, 381, 2034","1537, 2736, 208, 296, 572, 1053, 1484","1473, 1565, 2524, 2380, 1467, 1370","1706, 2555, 219, 12, 2129, 1531, 1814, 419","2300, 2407, 750, 2667, 1555, 2475, 963","1086, 2759, 1731, 1778, 2344, 1415, 1942","1858, 555, 1087, 2450, 1276, 945, 1287","2580, 662, 2685, 2333, 1507, 251","1881, 788, 2669, 2353, 2637, 2614, 2447","1174, 766, 2376, 447, 880, 2492, 1619","159, 2293, 711, 230, 207, 1450, 724"
5,"2311, 284, 2203, 2174, 314, 1028, 1976","1584, 1701, 1835, 2334, 1179, 2504, 1545","877, 1628, 1141, 2528, 1030, 1798","2103, 1299, 1094, 2375, 1193, 490, 1322","618, 1873, 2224, 195, 810, 732, 294","1384, 2438, 2013, 110, 2495, 1392, 975","929, 901, 715, 1794, 718, 2446, 1994","1305, 344, 2045, 2016, 1977, 2526, 512","1437, 2484, 382, 309, 48, 705, 455","568, 1762, 1043, 1682, 252, 1575, 1715, 1015","36, 992, 918, 881, 187, 2352, 1567","2010, 84, 629, 2500, 1914, 2082, 61","2686, 2773, 1817, 1288, 1280, 1065, 1741","454, 2192, 1105, 1496, 1200, 1272, 2741","719, 2558, 2358, 1142, 1690, 731, 1226, 700"
6,"2038, 822, 1430, 1529, 1297, 941, 1576","2053, 2326, 2221, 1036, 1966, 948, 2136","387, 243, 2768, 411, 1124, 2330, 1362","166, 755, 306, 57, 2437, 520, 1818, 153","594, 1930, 241, 1428, 1971, 2233, 1331, 1911","6, 540, 1845, 765, 562, 498","1597, 1944, 436, 1117, 2222, 2599, 2691","2171, 1127, 1751, 2688, 1809, 2272, 2533","1182, 271, 281, 1569, 2317, 990, 196","1548, 710, 676, 357, 2159, 398, 1147","847, 1642, 478, 960, 1058, 1292, 2566","1658, 2183, 965, 2617, 733, 1159, 2590","672, 616, 2643, 158, 2618, 2461, 181","1132, 658, 2008, 818, 1599, 997","2416, 1462, 2663, 1042, 883, 111, 395"
7,"916, 290, 65, 1108, 2486, 1979, 122","999, 737, 8, 977, 1218, 1932, 1622","2231, 1552, 895, 1135, 1266, 1178, 282","348, 1797, 1330, 1870, 1646, 63, 17, 1805","2609, 2125, 2015, 2578, 850, 622, 2634","2584, 1037, 1848, 256, 927, 1829, 38","1395, 143, 1443, 1532, 1009, 797","354, 2247, 174, 1001, 1133, 1700, 2662","1562, 2154, 370, 2556, 689, 1137, 475","403, 33, 1939, 1248, 1499, 673, 1931","351, 2180, 2037, 1219, 1366, 500, 868","898, 73, 803, 404, 126, 2079, 329","930, 1258, 2456, 2078, 280, 1643, 1047","646, 839, 619, 635, 2496, 2021, 1549","1859, 318, 450, 2396, 328, 959, 636"
8,"889, 2621, 29, 2606, 1573, 2259, 149, 1609","754, 157, 128, 940, 2623, 2043","921, 1113, 310, 782, 2253, 341, 2102","1188, 2195, 1156, 1831, 508, 2398, 825","1639, 2318, 2261, 1262, 2275, 2666, 297","2737, 184, 2509, 123, 26, 1571, 161","2158, 1194, 100, 1502, 1594, 1716","912, 1069, 113, 15, 1970, 146, 1144, 458","2671, 996, 1303, 2582, 392, 2341, 548","1332, 1730, 1906, 1616, 1402, 2122","88, 1024, 1590, 725, 2296, 346, 1375, 2068","1993, 2033, 1379, 683, 1990, 1722, 2258","2113, 2616, 319, 191, 1811, 1109, 1653","375, 1671, 806, 1327, 1233, 1765, 299, 298","2232, 2747, 56, 2277, 741, 1103, 339"
9,"1758, 514, 1014, 1511, 1382, 67","1343, 1828, 736, 367, 2703, 2218, 605","1678, 225, 2746, 1128, 1725, 95, 232, 263","1750, 1821, 2548, 925, 1389, 1225, 1414","1073, 801, 221, 1291, 451, 14, 1034","1302, 317, 1712, 2417, 1833, 1711, 2619","2166, 1213, 1410, 649, 1400, 459, 2299","939, 1617, 2305, 1488, 787, 1689, 2365","2234, 2676, 472, 510, 1122, 2510","2434, 872, 1869, 485, 1644, 355, 483","603, 1110, 1635, 87, 1472, 896, 1768","1039, 302, 1891, 2664, 2366, 1840, 875","2255, 1393, 2244, 255, 444, 2592, 1561","1232, 2155, 1270, 1205, 104, 2170","2280, 1215, 2178, 2042, 133, 1093, 647"
